StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
Montane Sagebrush Upland With Trees,Mid:Open,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0005,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Mid:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0004,,,,,No,,,
Montane Sagebrush Upland With Trees,Mid:Open,,Sh Dpl:Closed,Excessive-Herbivory,0.0001,,,,,No,,,
Montane Sagebrush Upland With Trees,Seeded:Open,,Ann Gr:Open,Excessive-Herbivory,0.0005,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Seeded:Open,,Early:Open,AltSuccession,0.0250,,,,,No,,,
Montane Sagebrush Upland With Trees,Seeded:Open,,Seeded:Open,Replacement Fire,0.0020,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Seeded:Open,,Seeded:Open,SENN-Maintenance,0.0100,,,,,No,,,
Montane Sagebrush Upland With Trees,Sh Ann Gr:Closed,,Ann Gr:Open,Replacement Fire,0.0100,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Ann Gr:Closed,,Crst Wht Gr:Open,CWG-SEED,0.0100,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Ann Gr:Closed,,Seeded:Open,Restoration Annual Grass,0.0060,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Ann Gr:Open,Annual Grass Invasion,0.0010,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Ann Gr:Open,Replacement Fire,0.0050,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Early:Open,Restoration Depleted Sage L,0.0008,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Early:Open,Restoration Depleted Sage L,0.0064,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Seeded:Open,Restoration Depleted Sage L,0.0008,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0005,,,,,No,,,
Montane Sagebrush Upland With Trees,Sh Dpl:Closed,,Tr Enc:Open,Tree Encroachment,0.0100,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Ann Gr:Closed,,Ann Gr:Open,Replacement Fire,0.0060,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Ann Gr:Closed,,Crst Wht Gr:Open,CWG-SEED,0.0130,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Ann Gr:Closed,,Seeded:Open,Replacement Fire,0.0020,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Ann Gr:Closed,,Seeded:Open,Restoration Tree Encroached H,0.0090,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed,,Ann Gr Mono:Open,Replacement Fire,0.0013,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed,,Ann Gr:Open,Replacement Fire,0.0039,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed,,Mid:Open,Restoration Tree Encroached H,0.0117,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed,,Seeded:Open,Replacement Fire,0.0078,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed,,Tr Ann Gr:Closed,Excessive-Herbivory,0.0005,,,,,No,,,
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed,,Tr Enc Thr:Closed,Wind/Weather/Stress,0.0100,,,,,No,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Early:Open,Replacement Fire,0.0040,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Early:Open,Restoration Tree Encroached L,0.0043,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Late:Open,Restoration Tree Encroached L,0.0008,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Mid:Open,Restoration Tree Encroached L,0.0034,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Seeded:Open,Replacement Fire,0.0010,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Tr Ann Gr:Closed,Annual Grass Invasion,0.0002,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Tr Ann Gr:Closed,Excessive-Herbivory,0.0005,,,,,No,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Tr Enc Thr:Closed,Wind/Weather/Stress,0.0010,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Tr Enc:Open,,Tr Enc:Open,Wind/Weather/Stress,0.0130,,,,,No,,,
Western Juniper Woodland & Savannah,Ann Gr:Open,,Ann Gr:Open,Replacement Fire,0.0010,,,,,Yes,,,
Western Juniper Woodland & Savannah,Ann Gr:Open,,Seeded:Open,Restoration Annual Grass,0.0010,,,,,Yes,,,
Western Juniper Woodland & Savannah,Early:Open,,Early:Open,Replacement Fire,0.0050,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late 2:Open,,Early:Open,Replacement Fire,0.0020,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late 2:Open,,Late 2:Open,Surface Fire,0.0050,,,,,No,,,
Western Juniper Woodland & Savannah,Late 2:Open,,Late:Open,Insect/Disease,0.0015,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late 2:Open,,Mid:Open,Insect/Disease,0.0005,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late 2:Open,,Tr Ann Gr:Open,Annual Grass Invasion,0.0020,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late:Open,,Early:Open,Replacement Fire,0.0050,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late:Open,,Mid:Open,Insect/Disease,0.0020,,,,,Yes,,,
Western Juniper Woodland & Savannah,Late:Open,,Tr Ann Gr:Open,Annual Grass Invasion,0.0020,,,,,Yes,,,
Western Juniper Woodland & Savannah,Mid:Open,,Early:Open,Replacement Fire,0.0050,,,,,Yes,,,
Western Juniper Woodland & Savannah,Seeded:Open,,Ann Gr:Open,Replacement Fire,0.0025,,,,,Yes,,,
Western Juniper Woodland & Savannah,Seeded:Open,,Seeded:Open,Replacement Fire,0.0025,,,,,Yes,,,
